species,category,parameter,value,units,source_reference,notes
blue_whale,identity,species,blue_whale,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,identity,common_name,Blue Whale,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,identity,scientific_name,Balaenoptera musculus,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,physiology,core_temperature_C,36.7,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,physiology,core_temperature_min_C,34.6,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,physiology,core_temperature_max_C,37.2,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,physiology,thermoneutral_water_C,10.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,metabolic_scale,0.004,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,perfusion_scale,0.08,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,transition_fraction,0.15,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,region_blend_iterations,150,count,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,region_blend_alpha,0.5,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,solver,dt_seconds,300,s,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,solver,total_hours,24,h,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,solver,steady_eps,0.001,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,mesh,surface_obj,assets/meshes/blue_whale_surface.obj,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,mesh,volume_mesh,assets/meshes/blue_whale_variable_blubber.vtu,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,mesh,volume_raw,assets/meshes/blue_whale_volume_full_gmsh.vtk,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,mesh,element_size,0.18,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,data,vertex_groups,data/blue_whale/vertex_groups.json,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,data,surface_mesh,data/blue_whale/surface_mesh.json,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,data,surface_regions,data/blue_whale/surface_regions.json,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,data,tissue_info,data/blue_whale/tissue_info_variable.json,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,Body,0.17,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,Peduncle,0.1322,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,Rostrum,0.0756,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,PectoralLeftFlipper,0.0378,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,PectoralRightFlipper,0.0378,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,Fluke,0.0472,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,DorsalFin,0.034,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,VentralGrooves,0.0378,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,Body,9.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,Peduncle,18.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,Rostrum,60.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,DorsalFin,85.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,VentralGrooves,130.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
