group,parameter,value,units,source_reference
right,length_m,18.0,m,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
right,max_girth_ratio,0.62,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
right,girth_position_ratio,0.4,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
right,rostrum_taper_ratio,0.3,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
right,peduncle_narrowing_ratio,0.33,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
right,fluke_span_ratio,0.22,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
right,pectoral_fin_length_ratio,0.1,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
right,blubber_thickness_ratio,0.017,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
gray,length_m,13.5,m,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
gray,max_girth_ratio,0.55,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
gray,girth_position_ratio,0.42,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
gray,rostrum_taper_ratio,0.38,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
gray,peduncle_narrowing_ratio,0.3,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
gray,fluke_span_ratio,0.24,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
gray,pectoral_fin_length_ratio,0.11,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
gray,blubber_thickness_ratio,0.012,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
humpback,length_m,13.0,m,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
humpback,max_girth_ratio,0.58,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
humpback,girth_position_ratio,0.38,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
humpback,rostrum_taper_ratio,0.36,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
humpback,peduncle_narrowing_ratio,0.28,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
humpback,fluke_span_ratio,0.3,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
humpback,pectoral_fin_length_ratio,0.3,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
humpback,blubber_thickness_ratio,0.01,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
balaenoptera,length_m,24.0,m,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
balaenoptera,max_girth_ratio,0.5,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
balaenoptera,girth_position_ratio,0.45,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
balaenoptera,rostrum_taper_ratio,0.42,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
balaenoptera,peduncle_narrowing_ratio,0.25,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
balaenoptera,fluke_span_ratio,0.25,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
balaenoptera,pectoral_fin_length_ratio,0.12,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
balaenoptera,blubber_thickness_ratio,0.008,ratio,data/reference/species/presets.json (internal morphometric presets; see docs/humpback_base_pipeline.md)
