species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
humpback,28447.787981715726,35.652532107009506,36.88891620812393,-1.4674461994715102,1,109.3,0.4,0.8,0.0,0.4,0.6,1.0,0.4,0.6,0.98,0.94,0.75,0.7,0.901,0.8,24.0,4095.84,morris,0,0,0
humpback,29738.613810345458,35.614487996582,36.571529121687036,-1.4258835138259087,1,119.9,1.0,0.8,0.0,0.4,0.6,1.0,0.4,0.6,1.25,0.94,0.75,0.7,0.901,0.8,24.0,4095.84,morris,1,0,1
humpback,30059.511797389263,35.56361619365509,36.54896417198722,-0.9952454071790271,1,119.7,1.0,0.8,0.0,0.4,0.0,1.0,0.4,0.6,1.25,0.94,0.75,0.7,0.595,0.8,24.0,4095.84,morris,2,0,2
humpback,31799.096085611658,35.630864440175515,36.60909555573113,-1.1075933276402452,1,77.8,1.0,0.8,0.0,1.0,0.0,1.0,0.4,0.6,1.25,0.94,0.75,1.0,0.595,0.8,24.0,4095.84,morris,3,0,3
humpback,31763.800754393895,35.60612211770814,36.53776757365773,-1.1142286003363324,1,119.8,1.0,0.8,0.0,1.0,0.0,1.0,0.4,0.0,1.25,0.94,0.75,1.0,0.595,0.8,24.0,2704.7999999999997,morris,4,0,4
humpback,35170.110064844164,35.57309852617368,36.670486467705416,-1.8271035028675442,1,116.2,1.0,0.8,0.6,1.0,0.0,1.0,0.4,0.0,1.25,0.94,1.2,1.0,0.595,0.8,24.0,2704.7999999999997,morris,5,0,5
humpback,35168.68233529655,35.57306055715446,36.67039617503781,-1.8272731987484576,1,116.7,1.0,0.8,0.6,1.0,0.0,1.0,1.0,0.0,1.25,0.94,1.2,1.0,0.595,0.8,30.0,2704.7999999999997,morris,6,0,6
humpback,36758.64922136621,35.537979362331896,36.38466428422532,-1.8176846707034429,1,118.0,1.0,0.2,0.6,1.0,0.0,1.0,1.0,0.0,1.25,0.76,1.2,1.0,0.595,0.8,30.0,2704.7999999999997,morris,7,0,7
humpback,31670.65232382361,35.49663824000913,36.38466428422373,-2.2507776523539746,1,118.2,1.0,0.2,0.6,1.0,0.0,0.4,1.0,0.0,1.25,0.76,1.2,1.0,0.595,0.5,30.0,2704.7999999999997,morris,8,0,8
humpback,24114.035820488556,35.57884891482939,36.84876566530244,-1.8185708838651635,1,114.2,0.0,1.0,0.2,0.0,0.2,0.6,0.6,1.0,0.8,1.0,0.9,0.5,0.697,0.6,26.0,5023.2,morris,9,1,0
humpback,25576.109241697774,35.55222110050005,36.95237037401745,-2.2237696984319655,1,105.9,0.0,1.0,0.8,0.0,0.2,0.6,0.6,1.0,0.8,1.0,1.35,0.5,0.697,0.6,26.0,5023.2,morris,10,1,1
humpback,27004.264666989522,35.49830827929128,36.832623142106684,-2.0216290490376423,1,112.2,0.6,1.0,0.8,0.0,0.2,0.6,0.6,1.0,1.07,1.0,1.35,0.5,0.697,0.6,26.0,5023.2,morris,11,1,2
humpback,28106.21482051934,35.45464294140044,36.82164919675506,-2.014274114579507,1,115.6,0.6,0.4,0.8,0.0,0.2,0.6,0.6,1.0,1.07,0.82,1.35,0.5,0.697,0.6,26.0,5023.2,morris,12,1,3
humpback,27772.09830793725,35.52412960192805,37.425306869990266,-2.236713715105907,1,115.0,0.6,0.4,0.8,0.0,0.8,0.6,0.6,1.0,1.07,0.82,1.35,0.5,0.98,0.6,26.0,5023.2,morris,13,1,4
humpback,27724.06807755567,35.47624630726091,36.99762891242568,-2.2350038686416838,1,115.4,0.6,0.4,0.8,0.0,0.8,0.6,0.6,0.4,1.07,0.82,1.35,0.5,0.98,0.6,26.0,3632.16,morris,14,1,5
humpback,27729.78395675758,35.476412513327034,36.99698321190101,-2.234725801926629,1,115.5,0.6,0.4,0.8,0.0,0.8,0.6,0.0,0.4,1.07,0.82,1.35,0.5,0.98,0.6,20.0,3632.16,morris,15,1,6
