species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
bowhead,25077.467314598023,33.960895498934576,36.273474911786764,-2.1280033186558853,1,81.9,0.4,0.8,0.0,0.4,0.6,1.0,0.4,0.6,0.98,0.94,0.75,0.7,0.901,0.8,-1.0,8581.76,morris,0,0,0
bowhead,26532.822725618673,33.9547095433843,36.254964514413984,-1.965467571705517,1,85.0,1.0,0.8,0.0,0.4,0.6,1.0,0.4,0.6,1.25,0.94,0.75,0.7,0.901,0.8,-1.0,8581.76,morris,1,0,1
bowhead,26655.89509149828,33.942945747492786,35.852836686782894,-1.9654647542170096,1,129.5,1.0,0.8,0.0,0.4,0.0,1.0,0.4,0.6,1.25,0.94,0.75,0.7,0.595,0.8,-1.0,8581.76,morris,2,0,2
bowhead,26837.61166442715,33.89500273883067,35.46939497954685,-1.955783102914495,1,129.3,1.0,0.8,0.0,1.0,0.0,1.0,0.4,0.6,1.25,0.94,0.75,1.0,0.595,0.8,-1.0,8581.76,morris,3,0,3
bowhead,26825.647855995572,33.84764177732694,35.28590436343762,-1.9558810115408392,1,128.1,1.0,0.8,0.0,1.0,0.0,1.0,0.4,0.0,1.25,0.94,0.75,1.0,0.595,0.8,-1.0,5667.2,morris,4,0,4
bowhead,30377.729083649763,33.841574886672845,35.51214435332548,-2.14416955661261,1,125.2,1.0,0.8,0.6,1.0,0.0,1.0,0.4,0.0,1.25,0.94,1.2,1.0,0.595,0.8,-1.0,5667.2,morris,5,0,5
bowhead,20800.743153557796,33.77043064859839,34.682323955145876,-2.0372199470229475,1,125.4,1.0,0.8,0.6,1.0,0.0,1.0,1.0,0.0,1.25,0.94,1.2,1.0,0.595,0.8,5.0,5667.2,morris,6,0,6
bowhead,22419.070779244328,33.756556711605185,34.493074796965175,-1.9706448952750293,1,128.3,1.0,0.2,0.6,1.0,0.0,1.0,1.0,0.0,1.25,0.76,1.2,1.0,0.595,0.8,5.0,5667.2,morris,7,0,7
bowhead,18708.401764517388,33.726045897647396,34.4314846077159,-1.8903856077167234,1,128.2,1.0,0.2,0.6,1.0,0.0,0.4,1.0,0.0,1.25,0.76,1.2,1.0,0.595,0.5,5.0,5667.2,morris,8,0,8
bowhead,18669.538188325947,34.065672709272235,37.186903971772836,-2.101326361560382,1,121.7,0.0,1.0,0.2,0.0,0.2,0.6,0.6,1.0,0.8,1.0,0.9,0.5,0.697,0.6,1.0,10524.800000000001,morris,9,1,0
bowhead,19926.272811050054,34.06029309497137,37.362658338280596,-2.1056623999146495,1,115.9,0.0,1.0,0.8,0.0,0.2,0.6,0.6,1.0,0.8,1.0,1.35,0.5,0.697,0.6,1.0,10524.800000000001,morris,10,1,1
