species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
fin_whale,42697.99783104754,35.94802673333743,38.272047636308685,-2.040551712985746,1,391.2,0.4,0.8,0.0,0.4,0.6,1.0,0.4,0.6,0.98,0.94,0.75,0.7,0.901,0.8,7.0,7732.700000000001,morris,0,0,0
fin_whale,45495.02665666179,35.926765758958936,38.11887037908889,-2.050211063711572,1,398.3,1.0,0.8,0.0,0.4,0.6,1.0,0.4,0.6,1.25,0.94,0.75,0.7,0.901,0.8,7.0,7732.700000000001,morris,1,0,1
fin_whale,45645.95764747134,35.913812513615994,38.118870374080984,-2.050211063751817,1,398.4,1.0,0.8,0.0,0.4,0.0,1.0,0.4,0.6,1.25,0.94,0.75,0.7,0.595,0.8,7.0,7732.700000000001,morris,2,0,2
fin_whale,47893.677682674694,35.94301375585877,37.94533982472581,-2.0502110637575015,1,397.2,1.0,0.8,0.0,1.0,0.0,1.0,0.4,0.6,1.25,0.94,0.75,1.0,0.595,0.8,7.0,7732.700000000001,morris,3,0,3
fin_whale,47862.03604951245,35.927066664464064,37.8807345835599,-2.0502110637585247,1,394.4,1.0,0.8,0.0,1.0,0.0,1.0,0.4,0.0,1.25,0.94,0.75,1.0,0.595,0.8,7.0,5106.5,morris,4,0,4
fin_whale,52828.13109191054,35.90801292774631,38.32667500972303,-2.0202797359777946,1,370.9,1.0,0.8,0.6,1.0,0.0,1.0,0.4,0.0,1.25,0.94,1.2,1.0,0.595,0.8,7.0,5106.5,morris,5,0,5
fin_whale,51516.86427048607,35.8970232209893,38.3291379293949,-2.0172644904040453,1,362.8,1.0,0.8,0.6,1.0,0.0,1.0,1.0,0.0,1.25,0.94,1.2,1.0,0.595,0.8,13.0,5106.5,morris,6,0,6
fin_whale,54920.348313045586,35.8774432913217,38.1159673433703,-2.0214857251544345,1,390.0,1.0,0.2,0.6,1.0,0.0,1.0,1.0,0.0,1.25,0.76,1.2,1.0,0.595,0.8,13.0,5106.5,morris,7,0,7
fin_whale,48255.85928528636,35.853529131641835,37.32010425894538,-2.013495827416648,1,373.6,1.0,0.2,0.6,1.0,0.0,0.4,1.0,0.0,1.25,0.76,1.2,1.0,0.595,0.5,13.0,5106.5,morris,8,0,8
fin_whale,35343.74499100326,35.922917881944215,38.86131711878056,-2.014139553536779,1,312.4,0.0,1.0,0.2,0.0,0.2,0.6,0.6,1.0,0.8,1.0,0.9,0.5,0.697,0.6,9.0,9483.5,morris,9,1,0
fin_whale,37423.48458976383,35.90725284252022,39.274297880944175,-2.037497892649185,1,274.2,0.0,1.0,0.8,0.0,0.2,0.6,0.6,1.0,0.8,1.0,1.35,0.5,0.697,0.6,9.0,9483.5,morris,10,1,1
fin_whale,40510.92203323164,35.87524024112878,38.96544246614593,-2.008076847324105,1,362.0,0.6,1.0,0.8,0.0,0.2,0.6,0.6,1.0,1.07,1.0,1.35,0.5,0.697,0.6,9.0,9483.5,morris,11,1,2
fin_whale,42863.64383314935,35.84910044657005,38.65898939501301,-2.0105511199835746,1,373.3,0.6,0.4,0.8,0.0,0.2,0.6,0.6,1.0,1.07,0.82,1.35,0.5,0.697,0.6,9.0,9483.5,morris,12,1,3
fin_whale,42713.08615360707,35.86703548741701,38.6589894518612,-2.1371730627236047,1,382.7,0.6,0.4,0.8,0.0,0.8,0.6,0.6,1.0,1.07,0.82,1.35,0.5,0.98,0.6,9.0,9483.5,morris,13,1,4
